label,plot_label,family,kind,diff_pp,se_pp,ci_pp,y,plot_label_new
Deep local regulatory/legal knowledge,   $\hookrightarrow$ Deep local regulatory/legal knowledge,Local institutional and professional judgment,child,-35.699999999999996,1.37611840003884,2.6971920640761264,10.559999999999995,   $\hookrightarrow$ Deep local regulatory/legal knowledge
Local institutional and professional judgment,Local institutional and professional judgment,Local institutional and professional judgment,family,-19.96666666666667,0.90336822402894,1.7706017190967225,11.139999999999992,Local institutional judgement
Computer-vision inspection and monitoring,   $\hookrightarrow$ Computer-vision inspection and monitoring,"Sensor, vision and industrial automation",child,11.2,1.29349006887534,2.535240534995667,12.219999999999995,   $\hookrightarrow$ Computer-vision inspection and monitoring
"Sensor, vision and industrial automation","Sensor, vision and industrial automation","Sensor, vision and industrial automation",family,11.2,1.29349006887534,2.535240534995667,12.799999999999994,"Sensor and vision-enabled
production"
Text-heavy synthesis and document analysis,   $\hookrightarrow$ Text-heavy synthesis and document analysis,Digital administrative and platform workflows,child,0.4499999999999999,1.49282048703226,2.925928154583229,13.879999999999995,   $\hookrightarrow$ Text-heavy synthesis and document analysis
AI-assisted analysis and report generation,   $\hookrightarrow$ AI-assisted analysis and report generation,Digital administrative and platform workflows,child,41.5,1.33969115328612,2.625794660440795,14.499999999999996,   $\hookrightarrow$ AI-assisted analysis and report generation
Automated reporting and admin workflows,   $\hookrightarrow$ Automated reporting and admin workflows,Digital administrative and platform workflows,child,43.4,1.39971411359602,2.7434396626481994,15.119999999999994,   $\hookrightarrow$ Automated reporting and admin workflows
Digital platforms and admin workflows,   $\hookrightarrow$ Digital platforms and admin workflows,Digital administrative and platform workflows,child,50.74999999999999,1.31741661719884,2.5821365697097263,15.739999999999997,   $\hookrightarrow$ Digital platforms and admin workflows
Digital administrative and platform workflows,Digital administrative and platform workflows,Digital administrative and platform workflows,family,34.025,0.8315620453204899,1.6298616088281603,16.319999999999993,Digitised administrative platforms
Drafting structured written content,   $\hookrightarrow$ Drafting structured written content,AI and digital information processing,child,30.1,1.43458147625222,2.8117796934543513,17.399999999999995,   $\hookrightarrow$ Drafting structured written content
AI optimization in data-rich workflows,   $\hookrightarrow$ AI optimization in data-rich workflows,AI and digital information processing,child,59.8,1.23196544977313,2.414652281555335,18.019999999999996,   $\hookrightarrow$ AI optimization in data-rich workflows
AI and digital information processing,AI and digital information processing,AI and digital information processing,family,44.95,0.98690716020881,1.9343380340092675,18.59999999999999,AI-enabled data workflows
