rule,iso3,country_name,income_level,task_id,task_label,exposure_level_mode,dominant_channel_mode,margin_mode,has_material_ai_integration_mode,short_rationale_mode
level3_says_no_automation,SWE,Sweden,High income,674,Plan and coordinate advertising campaigns and sales promotions and prepare merchandise displays and advertising copy.,3,informational_transformation,both,True,"Generative AI can draft advertising copy and propose campaign structures at scale, while strategic planning remains a human-led effort involving brand intuition and market-specific cultural nuance in the Swedish context."
level3_says_no_automation,UKR,Ukraine,Upper middle income,2473,"Locate and monitor overdue accounts, using computers and a variety of automated systems.",3,rule_based_workflow,substitute,True,"Automated systems reliably track deadlines and trigger collection workflows, enabling significant labor reduction in monitoring and account reconciliation, even if complex exception handling remains human-centric."
level3_says_no_automation,VNM,Viet Nam,Lower middle income,14749,"Track, compile, and analyze Web site usage data.",3,informational_transformation,substitute,True,"In Vietnam, widespread adoption of automated analytics platforms effectively handles data compilation and synthesis, reducing manual effort significantly, though advanced qualitative insight generation remains a human-led value add."
level0_says_automation_happens,AFG,Afghanistan,Low income,10286,"Set dials and timing controls to regulate electrical current, gas flow pressure, heating or cooling cycles, or shut-off.",0,none,unclear,False,"In the current economic and industrial context of Afghanistan, manual regulation of industrial equipment remains standard practice, and the capital investment required for widespread automation of these physical controls is not currently feasible."
level0_says_automation_happens,AFG,Afghanistan,Low income,10510,"Defrost frozen valves, using steam hoses.",0,none,unclear,False,"Defrosting valves with steam is a highly manual, variable, and physically demanding task that requires situational human judgment, making it unsuitable for standard automation in the current Afghanistan industrial context."
level0_says_automation_happens,AFG,Afghanistan,Low income,11009,"Trace drawings onto clear acetate for painting or coloring, or trace them with ink to make final copies.",0,none,unclear,False,"Tracing drawings is a manual, physical task that lacks a credible economic automation margin in the typical Afghan workplace context, where such specialized manual drafting remains the standard practice."
level0_says_automation_happens,AFG,Afghanistan,Low income,12478,"Mark items with details, such as grade or acceptance-rejection status.",0,none,unclear,False,"In the current economic and industrial context of Afghanistan, manual quality inspection and marking remain the standard practice, with limited deployment of automated industrial sorting or marking technologies."
level0_says_automation_happens,AFG,Afghanistan,Low income,13844,Adjust machine pressure gauges and thermostats.,0,none,unclear,False,"In Afghanistan's current economic and industrial context, manual monitoring and adjustment of analog machine controls remain standard practice, with limited deployment of automated, sensor-driven control systems capable of replacing human intervention."
level0_says_automation_happens,AFG,Afghanistan,Low income,15969,"Research or review regulatory, technical, or market issues related to sustainability.",0,none,unclear,False,"In the current Afghanistan context, this task requires deep, localized, and context-specific knowledge, often relying on informal networks and non-digitized sources, rendering standard automation tools ineffective for these high-judgment informational needs."
level0_says_automation_happens,AFG,Afghanistan,Low income,16395,"Analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",0,none,unclear,False,"In the current Afghan economic and institutional context, large-scale systems engineering requires highly context-specific expertise that remains largely manual and immune to standard automation."
level0_says_automation_happens,AFG,Afghanistan,Low income,16909,"Develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.",0,none,unclear,False,"Economic and environmental modeling in this context requires highly specific, localized institutional knowledge and fragmented data, making standard automation pathways inapplicable to the core analytical task."
level0_says_automation_happens,AFG,Afghanistan,Low income,18035,Provide responses to regulatory agencies regarding product information or issues.,0,none,unclear,False,"Regulatory communication in Afghanistan relies heavily on interpersonal relationships, physical documentation, and non-digitized bureaucratic processes, rendering standard automation tools ineffective for this specific task core."
level0_says_automation_happens,AFG,Afghanistan,Low income,20738,"Estimate costs or submit bids for engineering, construction, or extraction projects.",0,none,unclear,False,"Cost estimation for construction in Afghanistan is highly contextual, relying on fragmented local supply chains, manual labor assessments, and unpredictable site conditions, making standard automation pathways inapplicable in this country context."
level0_says_automation_happens,AFG,Afghanistan,Low income,21437,Conduct detailed bill reviews to implement sound litigation management and expense control.,0,none,unclear,False,"In the current Afghan legal and economic context, high-fidelity automated auditing of specialized litigation billing remains unavailable, and manual expert review remains the standard practice due to limited local digitized infrastructure."
level0_says_automation_happens,AFG,Afghanistan,Low income,23232,Inform customers of contracts or other information pertaining to purchased services.,0,none,unclear,False,"In the Afghan context, contract explanation requires high-trust, culturally nuanced, and often face-to-face communication, making standard automation channels currently inapplicable for this complex, interpersonal task."
level0_says_automation_happens,AFG,Afghanistan,Low income,8917,Collect and document any pertinent medical history information.,0,none,unclear,False,"Medical documentation for legal evidence in Afghanistan requires high-stakes professional judgment, local language contextualization, and strict regulatory adherence, making standard automation unviable in the typical 2026 infrastructure context."
level0_says_automation_happens,AFG,Afghanistan,Low income,9677,Examine products purchased for resale or received for storage to determine product condition.,0,none,unclear,False,"In the current economic context of Afghanistan, manual inspection of goods remains the standard practice, with limited infrastructure or economic incentives for the deployment of automated inspection technologies."
level0_says_automation_happens,AGO,Angola,Lower middle income,10158,"Draw smelted metal samples from furnaces or kettles for analysis, and calculate types and amounts of materials needed to ensure that materials meet specifications.",0,none,unclear,False,"In the Angolan industrial context, manual sampling of molten metal and human-led metallurgical verification remain standard practice, with limited capital investment for high-end automated robotic sampling or advanced real-time process optimization."
level0_says_automation_happens,AGO,Angola,Lower middle income,21323,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",0,none,unclear,False,"Evaluating systemic financial operations requires deep contextual knowledge of institutional, regulatory, and local economic conditions in Angola, rendering standard automation or AI-driven substitution ineffective and economically unviable for this advisory task."
level0_says_automation_happens,AGO,Angola,Lower middle income,23074,Inform citizens of community services and recommend options to facilitate longer-term problem resolution.,0,none,unclear,False,"This task requires deep empathy, cultural context, and nuanced human judgment to provide meaningful advice, which remains fundamentally outside the capabilities of standard automation in Angola's current institutional and technical setting."
level0_says_automation_happens,AGO,Angola,Lower middle income,23811,"Read gauges to verify sufficient levels of hydraulic fluid, air pressure, or oxygen.",0,none,unclear,False,"In the typical industrial context of Angola, manual inspection of analog or local gauges remains the standard practice, as widespread automated sensor telemetry for such basic maintenance tasks is not yet ubiquitously deployed."
level0_says_automation_happens,AGO,Angola,Lower middle income,23979,Clean trucks used in the fields.,0,none,unclear,False,Manual labor is the only economically practical and widely deployed method for cleaning agricultural trucks in Angola; automated washing infrastructure is not typical or cost-effective in this context.
level0_says_automation_happens,ARG,Argentina,Upper middle income,14436,Accompany aircraft as a member of the flight crew to monitor and handle cargo in flight.,0,none,unclear,False,"The task requires unpredictable, complex physical intervention and real-time judgment in volatile aircraft environments, making it effectively immune to standard automation or remote-based labor substitution in typical airline operations."
level0_says_automation_happens,ARG,Argentina,Upper middle income,14481,"Relay specified signals to other ships, using visual signaling devices, such as blinker lights or semaphores.",0,none,unclear,False,"Modern maritime communication uses automated radio, satellite, and digital data systems (AIS/GMDSS) to replace manual visual signaling, making the specific task of relaying signals via semaphores or blinker lights obsolete in standard practice."
level0_says_automation_happens,ARG,Argentina,Upper middle income,8922,"Testify at inquests, hearings, and court trials.",0,none,unclear,False,"Testifying in court requires human presence, sworn accountability, and credibility, which are non-automatable functions in the Argentine legal system and standard practice."
level0_says_automation_happens,AUS,Australia,High income,19322,"Collect specimens, such as urine, feces, or sputum.",0,none,unclear,False,"Collection of patient specimens is a highly physical, sensitive, and interpersonal task that requires clinical judgment, patient handling, and infection control, making it essentially immune to standard automation in typical healthcare settings."
level0_says_automation_happens,AUS,Australia,High income,272,"Plan and conduct programs to combat social problems, prevent substance abuse, or improve community health and counseling services.",0,none,unclear,False,"This task centers on complex community stakeholder engagement, strategic program design, and navigating sensitive local political or social dynamics, which resist standard automation paths in the Australian context."
level0_says_automation_happens,AUT,Austria,High income,10014,"Repair leaks with caulking compound or replace pipes, using pipe wrenches.",0,none,unclear,False,"This task requires high manual dexterity, sensory feedback, and situational problem-solving in unstructured environments, making it effectively immune to standard automation in the Austrian skilled trade context by 2026."
level0_says_automation_happens,AUT,Austria,High income,23415,"Select, bait, and set traps, and lay poison along trails, according to species, size, habits, and environs of birds or animals and reasons for trapping them.",0,none,unclear,False,"This task requires high-dexterity field work, real-time environmental judgment, and strict adherence to localized animal welfare and safety regulations that make standard automation infeasible in the Austrian context."
level0_says_automation_happens,AUT,Austria,High income,8926,"Inventory personal effects recovered from bodies, such as jewelry or wallets.",0,none,unclear,False,"This task involves sensitive handling of personal effects from deceased individuals, requiring legal chain of custody, high emotional intelligence, and nuanced physical assessment that resists standard automation in an Austrian context."
level0_says_automation_happens,AZE,Azerbaijan,Upper middle income,10220,"Extract or lift jammed pieces from machines, using fingers, wire hooks, or lift bars.",0,none,unclear,False,"This task requires unpredictable physical problem-solving and manual dexterity in variable environments, making it currently immune to standard automation or meaningful augmentation in the Azerbaijani industrial context."
level0_says_automation_happens,AZE,Azerbaijan,Upper middle income,13593,"Smooth rough spots to prepare surfaces for waterproofing, using hammers, chisels, or rubbing bricks.",0,none,unclear,False,"This task involves manual, irregular physical labor requiring high dexterity and environmental judgment that remains economically non-automatable using current commercial or widely deployed technologies in the Azerbaijan construction sector."
level0_says_automation_happens,AZE,Azerbaijan,Upper middle income,8227,"Sort odd-sized mail by hand, sort mail that other workers have been unable to sort, and segregate items requiring special handling.",0,none,unclear,False,"Sorting non-standard, odd-sized items requires physical dexterity and adaptability to unstructured forms, which remains outside the cost-effective capabilities of standard automation in Azerbaijan's typical logistics infrastructure."
level0_says_automation_happens,BDI,Burundi,Low income,12016,"Remove solidified steel or slag from pouring nozzles, using long bars or oxygen burners.",0,none,unclear,False,"This task involves manual physical maintenance in industrial settings that are currently rare in Burundi, where labor-intensive manual methods remain standard practice for such specialized cleaning activities."
level0_says_automation_happens,BDI,Burundi,Low income,12356,"Set up or adjust machine controls to regulate conditions such as material flow, temperature, or pressure.",0,none,unclear,False,"In Burundi's typical industrial settings, manual human oversight of machine parameters remains the standard practice, with limited economic feasibility for the widespread deployment of advanced automated control systems by 2026."
level0_says_automation_happens,BDI,Burundi,Low income,14969,"Mark dimensions or outlines on stone prior to cutting, using rules and chalk lines.",0,none,unclear,False,"In the construction and masonry context of Burundi, manual marking with hand tools is standard practice; automation via technological systems is neither economically viable nor technically accessible for this specific low-tech task."
level0_says_automation_happens,BDI,Burundi,Low income,15701,"Design or implement supply chains that support business strategies adapted to changing market conditions, new business opportunities, or cost reduction strategies.",0,none,unclear,False,"In Burundi's current economic context, supply chain design is highly dependent on local, bespoke relational networks and fragile infrastructure, rendering standard automation tools ineffective for substituting or meaningfully augmenting this high-level strategic task."
level0_says_automation_happens,BDI,Burundi,Low income,17093,"Counsel patients on topics such as the need for annual dermatologic screenings, sun protection, skin cancer awareness, or skin and lymph node self-examinations.",0,none,unclear,False,"In Burundi's healthcare context, this task is highly dependent on interpersonal trust, localized clinical judgment, and direct physical examination, rendering standard automation mechanisms inapplicable to the core counseling and assessment function."
level0_says_automation_happens,BDI,Burundi,Low income,2134,"Write reports of daily activities and irregularities, such as equipment or property damage, theft, presence of unauthorized persons, or unusual occurrences.",0,none,unclear,False,"In the context of Burundi, manual reporting remains the standard practice due to limited digital infrastructure and reliance on analog documentation, making automation of this task core not economically feasible or widespread."
level0_says_automation_happens,BDI,Burundi,Low income,21733,"Design, program, or model Geographic Information Systems (GIS) applications or procedures.",0,none,unclear,False,"In the current economic context of Burundi, high-level GIS software development remains a specialized, artisanal professional activity where labor demand significantly exceeds standard automation margins for bespoke systems design."
level0_says_automation_happens,BDI,Burundi,Low income,21766,"Assess the quality of security controls, using performance indicators.",0,none,unclear,False,"In the context of Burundi's typical workplace settings, assessing high-level security control quality requires localized, expert judgment and context-specific implementation that remains outside the reach of viable, standard automation solutions."
level0_says_automation_happens,BDI,Burundi,Low income,22049,Repair nanotechnology processing or testing equipment or submit work orders for equipment repair.,0,none,unclear,False,"Nanotechnology repair requires highly specialized, bespoke human skills and physical dexterity that are currently unattainable through standard automation in the Burundian economic and industrial context."
level0_says_automation_happens,BDI,Burundi,Low income,23431,"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.",0,none,unclear,False,"In the Burundi context, manual interpretation of complex technical blueprints remains the standard practice due to limited digitization of infrastructure and construction sectors, providing no credible economic automation margin for this task."
level0_says_automation_happens,BDI,Burundi,Low income,6750,"Modify the general education curriculum for students with disabilities, based upon a variety of instructional techniques and instructional technology.",0,none,unclear,False,"In the Burundi context, curriculum modification for special education requires high pedagogical expertise and human empathy that remain unaffected by standard automation or AI-driven tools in 2026."
level0_says_automation_happens,BDI,Burundi,Low income,8015,Inspect cards or equipment to be used in games to ensure they are in proper condition.,0,none,unclear,False,"In the context of Burundi, manual visual inspection of gaming equipment remains the standard practice, as automation technologies for such specific physical tactile inspection are not cost-effective or commonly deployed."
level0_says_automation_happens,BEL,Belgium,High income,16890,Develop or test protocols to monitor ecosystem components and ecological processes.,0,none,unclear,False,"Designing ecological monitoring protocols requires deep synthesis of site-specific context, legislative requirements, and scientific judgment, which currently exceeds the capabilities of standard automation systems in Belgian environmental management settings."
level0_says_automation_happens,BEL,Belgium,High income,19868,Apply bioremediation techniques to hazardous wastes to allow naturally occurring bacteria to break down toxic substances.,0,none,unclear,False,"Bioremediation relies on complex, site-specific biological and chemical processes that are highly variable, making standard automation or labor-substitution technologically infeasible in the current Belgian industrial context."
level0_says_automation_happens,BEN,Benin,Lower middle income,11397,"Examine products or materials, parts, subassemblies, and packaging for damage, defects, or shortages, using specification sheets, gauges, and standards charts.",0,none,unclear,False,"In the current economic context of Benin, manual inspection remains the standard practice due to limited access to capital-intensive automated inspection systems, meaning there is no widespread credible labor-reallocation margin for this task."
level0_says_automation_happens,BEN,Benin,Lower middle income,12388,"Inspect chains, belts, or scrolls for signs of wear.",0,none,unclear,False,"In the current economic and technological context of Benin, manual inspection remains the standard practice, as widespread industrial automation or sensor-based predictive maintenance for this specific task is not yet economically or operationally typical."
level0_says_automation_happens,BEN,Benin,Lower middle income,12932,Share research findings by writing scientific articles or by making presentations at scientific conferences.,0,none,unclear,False,"Writing and presenting scientific research involves original synthesis, expert knowledge, and complex communication that remains largely outside the scope of credible labor substitution or standard automation in Benin's research environment."
level0_says_automation_happens,BEN,Benin,Lower middle income,14869,Inspect floors for smoothness.,0,none,unclear,False,"In the construction and flooring industry in Benin, manual inspection remains the standard practice due to limited access to specialized automated scanning technologies, making professional labor reallocation economically implausible at this time."
level0_says_automation_happens,BEN,Benin,Lower middle income,16722,Assemble or adjust parts or related electrical units of prototypes to prepare for testing.,0,none,unclear,False,"The task requires dexterous, highly variable physical manipulation and context-specific troubleshooting that exceeds the capabilities of standard automation in the current production and infrastructure context of Benin."
level0_says_automation_happens,BEN,Benin,Lower middle income,19186,"Conduct, or assist in the conduct of, music therapy research.",0,none,unclear,False,"Conducting music therapy research is a highly specialized, qualitative, and relational task in Benin, requiring cultural sensitivity, complex experimental design, and human-subject interaction that falls outside standard automation capabilities."
level0_says_automation_happens,BEN,Benin,Lower middle income,2147,"Inspect supplies, equipment, and work areas to ensure efficient service and conformance to standards.",0,none,unclear,False,"In the current Benin workplace context, manual inspection remains the standard practice, as the capital and infrastructure requirements for automated compliance monitoring are not widespread or economically viable for typical local enterprise settings."
level0_says_automation_happens,BEN,Benin,Lower middle income,4530,Make travel arrangements for sightseeing or other tours.,0,none,unclear,False,"In Benin's current economic and infrastructure context, tour arrangement relies heavily on personalized negotiation, local network coordination, and human trust, which fall outside standard automation paths."
level0_says_automation_happens,BFA,Burkina Faso,Low income,10184,"Observe meters and gauges to verify and record temperatures, pressures, and press-cycle times.",0,none,unclear,False,"In Burkina Faso's typical 2026 industrial or utility setting, manual meter reading remains standard practice; connectivity for automated sensor networks is largely absent, rendering tech-driven substitution or augmentation unviable for this task."
level0_says_automation_happens,BFA,Burkina Faso,Low income,10357,"Compute numbers, widths, and angles of cutting tools, micrometers, scales, and gauges, and adjust tools to produce specified cuts.",0,none,unclear,False,"In the current industrial landscape of Burkina Faso, manual tool setting and adjustment remain the standard practice, with limited infrastructure for automated CNC integration at the scale required for economic task substitution."
level0_says_automation_happens,BFA,Burkina Faso,Low income,11622,Update sewer maps and manhole charts.,0,none,unclear,False,"In Burkina Faso's current infrastructure context, sewer mapping lacks digitized, reliable, and standardized data foundations necessary for meaningful automation, making manual human-centered updates the standard practice."
level0_says_automation_happens,BFA,Burkina Faso,Low income,1487,"Read dials and meters to determine amperage, voltage, electrical output and input at specific operating temperature to analyze parts performance.",0,none,unclear,False,"In Burkina Faso, manual physical inspection remains the standard practice for this task; widespread adoption of automated sensor-monitoring systems is not typical, making labor reallocation through automation not currently economically credible."
level0_says_automation_happens,BFA,Burkina Faso,Low income,15462,"Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.",0,none,unclear,False,"Managing complex power facilities involves high-stakes physical, mechanical, and strategic oversight that remains deeply embedded in human judgment and physical intervention, far exceeding standard automation capabilities in this specific economic context."
level0_says_automation_happens,BFA,Burkina Faso,Low income,15570,Develop separation processes to recover biofuels.,0,none,unclear,False,"Developing chemical separation processes for biofuels is a highly specialized engineering task requiring site-specific knowledge, creative experimentation, and complex physical modeling unsuitable for standard automation in the current Burkina Faso industrial context."
level0_says_automation_happens,BFA,Burkina Faso,Low income,18447,Develop and implement individualized plans for health care management.,0,none,unclear,False,"In the Burkina Faso context, clinical health care planning relies heavily on local patient context, physical examination, and highly constrained resource allocation, rendering standard automation tools inapplicable to the task core."
level0_says_automation_happens,BFA,Burkina Faso,Low income,19815,Examine practices at green building sites to determine whether adherence to green building standards alters risks to workers.,0,none,unclear,False,"In the Burkina Faso construction sector context, assessing safety risks for complex green building practices relies heavily on local site-specific knowledge, regulatory interpretation, and expert judgment unavailable to standard automation systems."
level0_says_automation_happens,BFA,Burkina Faso,Low income,23779,"Inspect couplings, air hoses, journal boxes, and handbrakes to ensure that they are securely fastened and functioning properly.",0,none,unclear,False,"Manual inspection remains the standard practice, and the high-capital infrastructure required for automated condition monitoring is not feasible for typical railway operations in Burkina Faso by 2026."
level0_says_automation_happens,BFA,Burkina Faso,Low income,23873,"Read orders to ascertain catalog numbers, sizes, colors, and quantities of merchandise.",0,none,unclear,False,"In the current economic and technological context of Burkina Faso, manual reading and processing of orders remain the standard practice, with limited digitization or infrastructure to support automated substitution of this task."
level0_says_automation_happens,BFA,Burkina Faso,Low income,2627,"Ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",0,none,unclear,False,"In the context of Burkina Faso, field data collection relies heavily on human-to-human interaction, trust, and cultural mediation, making standard automation channels infeasible for the task core."
level0_says_automation_happens,BFA,Burkina Faso,Low income,3346,Inform survivors of benefits for which they may be eligible.,0,none,unclear,False,"In Burkina Faso's 2026 context, limited centralized digitization and the high reliance on face-to-face, localized community interaction make standard automation of this eligibility determination and communication task economically unfeasible."
level0_says_automation_happens,BFA,Burkina Faso,Low income,4609,"Maintain awareness of current income tax regulations, local zoning, building and tax laws, and growth possibilities of a property's area.",0,none,unclear,False,"In the context of Burkina Faso, these regulatory and market trends are often opaque, decentralized, and reliant on interpersonal knowledge networks, limiting standard automation pathways."
level0_says_automation_happens,BFA,Burkina Faso,Low income,5458,Design classes and programs to meet the needs of special students.,0,none,unclear,False,"Designing specialized educational programs for students with special needs requires highly contextualized interpersonal judgment, profound pedagogical expertise, and cultural awareness that currently exceeds the capabilities of standard automation in this country context."
level0_says_automation_happens,BFA,Burkina Faso,Low income,731,Develop marketing strategies to compete with other individuals or companies who sell insurance.,0,none,unclear,False,"Strategic insurance marketing requires nuanced understanding of local socio-economic conditions and relationship-based business practices in Burkina Faso, rendering this high-level cognitive task largely immune to standard automation in this context."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,11758,"Examine systems to locate problems, such as loose connections or broken insulation.",0,none,unclear,False,"In the Bangladeshi context, manual inspection of electrical systems remains the standard practice, as the low cost of labor and the diversity of installation environments make automated robotic inspection economically unviable for 2026."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,1421,Recommend design modifications to eliminate machine or system malfunctions.,0,none,unclear,False,"This task requires deep engineering intuition, context-specific mechanical understanding, and creative problem-solving that remains outside current standard automation capabilities in typical Bangladeshi industrial and technical work environments."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,1723,Order and purchase flowers and supplies from wholesalers and growers.,0,none,unclear,False,"The procurement of perishable goods in Bangladesh relies heavily on informal, relationship-based networks and local market dynamics, leaving little scope for standard automation or material labor reallocation in typical 2026 settings."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,19760,Collaborate with medical or health researchers to address health problems related to geological materials or processes.,0,none,unclear,False,"This task involves complex scientific collaboration, interdisciplinary field synthesis, and expert judgment that requires high-level human social, creative, and investigative capabilities, making it essentially immune to standard automation in the given context."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,21053,"Draw samples of raw materials, intermediate products, or finished products for validation testing.",0,none,unclear,False,"In the Bangladeshi industrial context, collecting physical samples requires localized mobility, human judgment for representative selection, and interaction with varied manufacturing environments, none of which are currently economically replaceable by standard automation."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,3144,"Inspect vehicles and check gas, oil, and water levels prior to departure.",0,none,unclear,False,"In the Bangladesh context, manual inspection remains the standard practice due to the heterogeneity of vehicles, lower adoption of digitized telematics, and the low labor cost relative to automated diagnostic infrastructure."
level0_says_automation_happens,BGD,Bangladesh,Lower middle income,5775,Participate in campus and community events.,0,none,unclear,False,"Community and campus outreach relies on interpersonal connection, cultural rapport, and physical presence, which remain fundamentally human activities that resist standard automation paths in the Bangladeshi context."
level0_says_automation_happens,BGR,Bulgaria,High income,12021,"Repair and maintain metal forms and equipment, using hand tools, sledges, and bars.",0,none,unclear,False,"The task core requires manual physical intervention with hand tools to address irregular, ad-hoc maintenance needs, which remains outside the cost-effective capabilities for standard automation in the Bulgarian industrial context."
level0_says_automation_happens,BGR,Bulgaria,High income,17783,Apply ultraviolet radiation protection to prevent degradation of plumbing.,0,none,unclear,False,"Applying UV protection to plumbing involves localized physical manipulation of materials on disparate, often non-standardized outdoor infrastructure, making standard automation economically unviable in Bulgaria's typical construction and maintenance context."
level0_says_automation_happens,BGR,Bulgaria,High income,19184,"Compose, arrange, or adapt music for music therapy treatments.",0,none,unclear,False,"Music therapy composition is deeply tied to real-time, highly subjective patient clinical response, rendering standard automation incapable of delivering the essential therapeutic alignment required in a clinical setting."
level0_says_automation_happens,BLR,Belarus,Upper middle income,19666,Develop photonics sensing or manufacturing technologies to improve the efficiency of manufacturing or related processes.,0,none,unclear,False,Developing novel sensing technologies is a creative R&D task involving complex engineering problem-solving that remains outside the scope of current commercially standard automation in Belarus.
level0_says_automation_happens,BLR,Belarus,Upper middle income,20207,"Apply meteorological knowledge to issues such as global warming, pollution control, or ozone depletion.",0,none,unclear,False,"Applying specialized meteorological expertise to address complex environmental phenomena like global warming involves high-level scientific judgment and policy synthesis, tasks that remain inherently human-driven and outside standard automation margins."
level0_says_automation_happens,BLR,Belarus,Upper middle income,20240,"Determine extent of liability according to evidence, laws, or administrative or judicial precedents.",0,none,unclear,False,"Determining legal liability is a high-stakes, judgment-heavy task requiring deep contextual interpretation of evidence and precedent that remains outside the capabilities of reliable, standard automation in this legal jurisdiction."
