target_name,hypothesis_id,hypothesis_rank,side,neuron_idx,candidate_idx,discovery_target_separation,fidelity_gap,interpretation,heldout_yes_rate,heldout_separation,effect,se,p_value,n_pairs,p_bonf,bonferroni_sig_0_05,bh_q,source,positive_yes_rate,negative_yes_rate,paired_z,paired_p,paired_bh_q,n_positive,n_negative,positive_only_pairs,negative_only_pairs,tied_pairs,n_present,n_absent,effect_pp,se_pp,ci_low_pp,ci_high_pp,primary_category,category_vote_count,disagreement_level,novelty_score,category_display,is_significant,display_label
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h15__n103,15,Exposed,103,1,0.5196727291677523,0.876,mentions computer vision or automated visual inspection systems for routine safety/compliance monitoring,0.12,0.321,0.1355,0.009701388223689092,2.475940671343066e-44,2000,4.951881342686132e-43,True,3.5370581019186656e-44,country,,,,,,,,,,,,,13.55,0.9701388223689091,11.64852790815694,15.451472091843062,country_context_condition,3,unanimous_category,incremental,Country context,True,Mentions computer vision or automated visual inspection systems for routine safety/compliance monitoring
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h16__n445,16,Exposed,445,2,0.5183705241307732,0.64,"mentions routine administrative or clerical workflows such as scheduling, record-keeping, billing, payroll, form submissions, and work-order tracking that are described as being automated by software",0.18,0.378,0.2235,0.011239975245602673,5.555879556901733e-88,2000,1.1111759113803465e-86,True,1.1111759113803466e-87,country,,,,,,,,,,,,,22.35,1.1239975245602674,20.146964851861878,24.553035148138125,country_context_condition,3,unanimous_category,validation,Country context,True,"Mentions routine administrative or clerical workflows such as scheduling, record-keeping, billing, payroll, form submissions, and work-order tracking that are described as being automated by software"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h06__n129,6,Non-exposed,129,1,-0.5285487288135593,0.492,"emphasizes personal advice, empathy, trust, and situational or contextual judgment in interpersonal helping roles",0.193,-0.272,-0.1695,0.01159534825050655,2.1586118705852623e-48,2000,4.3172237411705244e-47,True,3.597686450975437e-48,country,,,,,,,,,,,,,-16.950000000000003,1.159534825050655,-19.222688257099286,-14.67731174290072,task_specific_condition,3,unanimous_category,novel,Task-specific,True,"Emphasizes personal advice, empathy, trust, and situational or contextual judgment in interpersonal helping roles"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h13__n177,13,Non-exposed,177,1,-0.5207831640665899,0.588,"mentions manual or spreadsheet-based record-keeping, scheduling, inventory, or reporting with basic digital ledgers/spreadsheets",0.21,-0.094,-0.0625,0.011910827381187766,1.543222767402941e-07,2000,3.0864455348058824e-06,True,1.543222767402941e-07,country,,,,,,,,,,,,,-6.25,1.1910827381187765,-8.584522166712802,-3.915477833287198,country_context_condition,3,unanimous_category,validation,Country context,True,"Mentions manual or spreadsheet-based record-keeping, scheduling, inventory, or reporting with basic digital ledgers/spreadsheets"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h14__n160,14,Non-exposed,160,1,-0.5198187405594041,0.672,high-touch interpersonal negotiation and relationship-building language,0.177,-0.217,-0.1265,0.010853929191285739,2.1697680016582093e-31,2000,4.3395360033164185e-30,True,2.7122100020727616e-31,country,,,,,,,,,,,,,-12.65,1.0853929191285738,-14.777370121492005,-10.522629878507995,task_specific_condition,3,unanimous_category,,Task-specific,True,High-touch interpersonal negotiation and relationship-building language
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h09__n323,9,Non-exposed,323,2,-0.5219719640888328,0.692,"manual craft or dexterous handling of delicate materials, often with tactile judgment to avoid damage",0.212,-0.245,-0.164,0.011296716686894115,9.388208599358779e-48,2000,1.877641719871756e-46,True,1.4443397845167354e-47,country,,,,,,,,,,,,,-16.400000000000002,1.1296716686894115,-18.614156470631247,-14.185843529368755,task_specific_condition,3,unanimous_category,,Task-specific,True,"Manual craft or dexterous handling of delicate materials, often with tactile judgment to avoid damage"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h12__n393,12,Exposed,393,2,0.5209043697214499,0.748,mentions digital logging or data-entry systems replacing manual paper logbooks/record-keeping,0.239,0.258,0.1875,0.012379357788254799,8.029846024087016e-52,2000,1.6059692048174032e-50,True,1.4599720043794574e-51,country,,,,,,,,,,,,,18.75,1.23793577882548,16.32364587350206,21.17635412649794,country_context_condition,3,unanimous_category,,Country context,True,Mentions digital logging or data-entry systems replacing manual paper logbooks/record-keeping
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h02__n144,2,Non-exposed,144,2,-0.532248536598464,0.84,"mentions dexterous, adaptive physical manipulation in unstructured or cluttered environments",0.123,-0.176,-0.076,0.009173553130522505,1.184218848191421e-16,2000,2.368437696382842e-15,True,1.31579872021269e-16,country,,,,,,,,,,,,,-7.6,0.9173553130522505,-9.398016413582411,-5.801983586417589,task_specific_condition,3,unanimous_category,,Task-specific,True,"Mentions dexterous, adaptive physical manipulation in unstructured or cluttered environments"
same_task_exposed_vs_non_exposed,same_task_exposed_vs_non_exposed__h08__n434,8,Non-exposed,434,2,-0.5249762883338602,0.516,"mentions high-level organizational, strategic, or managerial judgment with stakeholder negotiation and institutional/contextual alignment",0.482,-0.092,-0.0915,0.014375924617369907,1.9553417662207255e-10,2000,3.910683532441451e-09,True,2.0582544907586583e-10,country,,,,,,,,,,,,,-9.15,1.4375924617369906,-11.967681225004501,-6.332318774995499,country_context_task_interaction,3,unanimous_category,,Country/task interaction,True,"Mentions high-level organizational, strategic, or managerial judgment with stakeholder negotiation and institutional/contextual alignment"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h05__n497,5,Other exposed clear margin,497,1,-0.3946314162358083,0.344,"language about enabling labor reallocation or task-shifting through automation, often phrased as creating a meaningful/viable margin for labor reallocation",0.58,-0.176,-0.172,0.015,,2000,1.72527e-30,True,,margin,0.494,0.666,-11.733,8.626350000000001e-32,1.72527e-30,2000.0,2000.0,285.0,628.0,1087.0,2321.0,1679.0,-17.2,1.5,-20.14,-14.26,generic_margin_wording,3,unanimous_category,validation,Generic margin wording,True,"Language about enabling labor reallocation or task-shifting through automation, often phrased as creating a meaningful/viable margin for labor reallocation"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h18__n269,18,Augmentation-only exposed,269,2,0.2596183841114692,0.536,"rationales about social, public-health, or educational contexts that emphasize nuanced local cultural or community-specific judgment and implementation",0.39,0.138,0.132,0.015,,2000,6.2725200000000006e-18,True,,margin,0.456,0.325,8.964,3.1362600000000003e-19,3.1362600000000003e-18,2000.0,2000.0,579.0,316.0,1105.0,1561.0,2439.0,13.200000000000001,1.5,10.260000000000002,16.14,country_context_task_interaction,3,unanimous_category,novel,Country/task interaction,True,"Rationales about social, public-health, or educational contexts that emphasize nuanced local cultural or community-specific judgment and implementation"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h04__n282,4,Augmentation-only exposed,282,2,0.4141802846599894,0.332,"mentions local contextualization, cultural context, or local institutional knowledge in the reasoning",0.236,0.153,0.11,0.013,,2000,1.56889e-16,True,,margin,0.291,0.181,8.602,7.844460000000001e-18,5.22964e-17,2000.0,2000.0,449.0,229.0,1322.0,944.0,3056.0,11.0,1.3,8.452,13.548,country_context_task_interaction,3,unanimous_category,novel,Country/task interaction,True,"Mentions local contextualization, cultural context, or local institutional knowledge in the reasoning"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h19__n41,19,Augmentation-only exposed,41,1,0.2578963666391412,0.516,references safety-critical aviation or engineering inspection/certification tasks with final human verification and regulatory compliance,0.374,0.117,0.11,0.013,,2000,3.02405e-15,True,,margin,0.429,0.319,8.256,1.51203e-16,7.56013e-16,2000.0,2000.0,477.0,257.0,1266.0,1496.0,2504.0,11.0,1.3,8.452,13.548,task_specific_condition,3,unanimous_category,incremental,Task-specific,True,References safety-critical aviation or engineering inspection/certification tasks with final human verification and regulatory compliance
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h08__n132,8,Augmentation-only exposed,132,2,0.3765446364658963,0.412,clinical decision support and treatment recommendation language with final physician responsibility,0.425,0.111,0.108,0.014,,2000,5.42131e-14,True,,margin,0.479,0.37,7.904,2.71065e-15,1.08426e-14,2000.0,2000.0,497.0,280.0,1223.0,1699.0,2301.0,10.8,1.4000000000000001,8.056000000000001,13.544,task_specific_condition,3,unanimous_category,incremental,Task-specific,True,Clinical decision support and treatment recommendation language with final physician responsibility
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h01__n227,1,Augmentation-only exposed,227,1,0.5061002727082022,0.752,"explicitly frames the outcome as augmentation being the primary or predominant path, often using phrases like 'making augmentation the primary/predominant margin/path' or 'more viable deployment route'",0.221,0.143,0.099,0.013,,2000,2.64227e-13,True,,margin,0.27,0.172,7.704,1.32113e-14,4.40378e-14,2000.0,2000.0,435.0,238.0,1327.0,883.0,3117.0,9.9,1.3,7.352,12.448,generic_margin_wording,3,unanimous_category,validation,Generic margin wording,True,"Explicitly frames the outcome as augmentation being the primary or predominant path, often using phrases like 'making augmentation the primary/predominant margin/path' or 'more viable deployment route'"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h07__n404,7,Augmentation-only exposed,404,2,0.3844853276569864,0.24,"supervisors providing targeted feedback, training, and performance oversight",0.353,0.104,0.095,0.014,,2000,1.00738e-09,True,,margin,0.401,0.305,6.57,5.03691e-11,1.43912e-10,2000.0,2000.0,522.0,332.0,1146.0,1412.0,2588.0,9.5,1.4000000000000001,6.756,12.244,task_specific_condition,3,unanimous_category,novel,Task-specific,True,"Supervisors providing targeted feedback, training, and performance oversight"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h14__n280,14,Augmentation-only exposed,280,2,0.2984455958549223,0.5,mentions high-stakes public-facing communication or media/spokesperson/press relations with strategic stakeholder management and cultural/political nuance,0.152,0.113,0.059,0.01,,2000,1.66593e-07,True,,margin,0.181,0.123,5.762,8.32966e-09,2.08242e-08,2000.0,2000.0,268.0,151.0,1581.0,609.0,3391.0,5.8999999999999995,1.0,3.9399999999999995,7.859999999999999,country_context_task_interaction,3,unanimous_category,novel,Country/task interaction,True,Mentions high-stakes public-facing communication or media/spokesperson/press relations with strategic stakeholder management and cultural/political nuance
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h09__n273,9,Augmentation-only exposed,273,1,0.3611772694035307,0.644,"emphasis on personal relationships, trust, and face-to-face interpersonal engagement in sales, service, hiring, or real estate contexts",0.078,0.158,0.045,0.008,,2000,2.1145e-07,True,,margin,0.101,0.056,5.721,1.05725e-08,2.34944e-08,2000.0,2000.0,174.0,83.0,1743.0,313.0,3687.0,4.5,0.8,2.932,6.068,task_specific_condition,3,unanimous_category,novel,Task-specific,True,"Emphasis on personal relationships, trust, and face-to-face interpersonal engagement in sales, service, hiring, or real estate contexts"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h17__n91,17,Other exposed clear margin,91,2,-0.2828565650437332,0.24,"descriptions of digital systems that standardize, synthesize, or aggregate information through structured forms, dashboards, reports, or notifications",0.369,-0.076,-0.07,0.014,,2000,1.00865e-05,True,,margin,0.334,0.404,-5.025,5.04324e-07,1.00865e-06,2000.0,2000.0,328.0,469.0,1203.0,1475.0,2525.0,-7.000000000000001,1.4000000000000001,-9.744000000000002,-4.256,country_context_condition,3,unanimous_category,validation,Country context,True,"Descriptions of digital systems that standardize, synthesize, or aggregate information through structured forms, dashboards, reports, or notifications"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h10__n334,10,Augmentation-only exposed,334,2,0.3458835567379514,0.628,"mentions scheduling, logistics, coordination, negotiation, and relationship management as the core work",0.13,0.082,0.037,0.009,,2000,0.00065486,True,,margin,0.148,0.111,4.153,3.2743e-05,5.95327e-05,2000.0,2000.0,197.0,123.0,1680.0,518.0,3482.0,3.6999999999999997,0.8999999999999999,1.936,5.4639999999999995,task_specific_condition,3,unanimous_category,novel,Task-specific,True,"Mentions scheduling, logistics, coordination, negotiation, and relationship management as the core work"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h11__n424,11,Augmentation-only exposed,424,1,0.3185311953952102,0.344,"mentions drafting, synthesis, and report-generation work being accelerated by AI tools",0.6,0.047,0.045,0.012,,2000,0.00382741,True,,margin,0.623,0.577,3.73,0.00019137,0.000318951,2000.0,2000.0,345.0,254.0,1401.0,2399.0,1601.0,4.5,1.2,2.148,6.852,task_specific_condition,3,unanimous_category,incremental,Task-specific,True,"Mentions drafting, synthesis, and report-generation work being accelerated by AI tools"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h06__n96,6,Augmentation-only exposed,96,2,0.3943804122145136,0.504,"mentions diagnostic sensors, predictive maintenance, or real-time fault/issue detection that helps technicians locate and fix equipment problems",0.082,0.061,0.018,0.007,,2000,0.152887,False,,margin,0.091,0.073,2.667,0.00764437,0.0117606,2000.0,2000.0,115.0,78.0,1807.0,329.0,3671.0,1.7999999999999998,0.7000000000000001,0.4279999999999997,3.1719999999999997,country_context_condition,3,unanimous_category,,Country context,False,"Mentions diagnostic sensors, predictive maintenance, or real-time fault/issue detection that helps technicians locate and fix equipment problems"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h02__n40,2,Other exposed clear margin,40,2,-0.4779656400586633,0.72,explicitly states both substitution and augmentation opportunities or margins,0.163,-0.036,-0.019,0.011,,2000,1.0,False,,margin,0.153,0.173,-1.703,0.0885853,0.12655,2000.0,2000.0,243.0,282.0,1475.0,653.0,3347.0,-1.9,1.0999999999999999,-4.055999999999999,0.2559999999999998,generic_margin_wording,3,unanimous_category,,Generic margin wording,False,Explicitly states both substitution and augmentation opportunities or margins
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h16__n151,16,Augmentation-only exposed,151,2,0.2938326818620235,0.508,"real-time visual monitoring, hazard detection, and navigation/positioning in safety-critical physical environments",0.178,0.026,0.015,0.011,,2000,1.0,False,,margin,0.185,0.171,1.367,0.171701,0.214626,2000.0,2000.0,256.0,226.0,1518.0,712.0,3288.0,1.5,1.0999999999999999,-0.6559999999999997,3.6559999999999997,task_specific_condition,3,unanimous_category,,Task-specific,False,"Real-time visual monitoring, hazard detection, and navigation/positioning in safety-critical physical environments"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h03__n510,3,Augmentation-only exposed,510,1,0.4569274653626731,0.492,"manual machine setup, adjustment, calibration, and configuration of industrial equipment",0.316,0.022,0.019,0.013,,2000,1.0,False,,margin,0.326,0.306,1.422,0.154888,0.206517,2000.0,2000.0,376.0,338.0,1286.0,1264.0,2736.0,1.9,1.3,-0.6480000000000001,4.448,task_specific_condition,3,unanimous_category,,Task-specific,False,"Manual machine setup, adjustment, calibration, and configuration of industrial equipment"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h15__n466,15,Other exposed clear margin,466,1,-0.2951867219917012,0.576,"mentions drafting, refining, and synthesizing text or documents, often as initial drafts, manuals, SOPs, prose, or training materials",0.293,0.018,0.015,0.012,,2000,1.0,False,,margin,0.301,0.286,1.301,0.193296,0.227407,2000.0,2000.0,281.0,251.0,1468.0,1174.0,2826.0,1.5,1.2,-0.8519999999999999,3.852,task_specific_condition,3,unanimous_category,,Task-specific,False,"Mentions drafting, refining, and synthesizing text or documents, often as initial drafts, manuals, SOPs, prose, or training materials"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h20__n433,20,Augmentation-only exposed,433,1,0.2506181798634629,0.828,"mentions lesson plans, curricula, curriculum drafting, or pedagogical content for education",0.074,0.018,0.005,0.007,,2000,1.0,False,,margin,0.077,0.072,0.729,0.465855,0.465855,2000.0,2000.0,99.0,89.0,1812.0,298.0,3702.0,0.5,0.7000000000000001,-0.8720000000000001,1.872,task_specific_condition,3,unanimous_category,,Task-specific,False,"Mentions lesson plans, curricula, curriculum drafting, or pedagogical content for education"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h12__n446,12,Other exposed clear margin,446,2,-0.3147429620563035,0.68,"mentions optimization and configuration of logistics, scheduling, routing, and resource allocation workflows",0.192,0.017,0.011,0.01,,2000,1.0,False,,margin,0.198,0.187,1.005,0.315105,0.350116,2000.0,2000.0,229.0,208.0,1563.0,769.0,3231.0,1.0999999999999999,1.0,-0.8600000000000001,3.0599999999999996,country_context_condition,3,unanimous_category,,Country context,False,"Mentions optimization and configuration of logistics, scheduling, routing, and resource allocation workflows"
same_task_augmentation_vs_other_exposed,same_task_augmentation_vs_other_exposed__h13__n52,13,Other exposed clear margin,52,2,-0.3057728312877054,0.464,"mentions drafting, summarizing, and extracting information from technical, policy, or research documents",0.323,0.011,0.01,0.013,,2000,1.0,False,,margin,0.328,0.318,0.793,0.427791,0.450306,2000.0,2000.0,328.0,308.0,1364.0,1290.0,2710.0,1.0,1.3,-1.548,3.548,task_specific_condition,3,unanimous_category,,Task-specific,False,"Mentions drafting, summarizing, and extracting information from technical, policy, or research documents"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h01__n136,1,Other exposed clear margin,136,1,-0.5213221990257481,0.728,"mentions human oversight, review, or final validation as still essential or mandatory despite AI assistance",0.351,-0.324,-0.295,0.014,,2000,9.57759e-98,True,,margin,0.203,0.499,-21.124,4.7888e-99,9.57759e-98,2000.0,2000.0,183.0,774.0,1043.0,1405.0,2595.0,-29.5,1.4000000000000001,-32.244,-26.756,task_specific_condition,3,unanimous_category,incremental,Task-specific,True,"Mentions human oversight, review, or final validation as still essential or mandatory despite AI assistance"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h16__n238,16,Other exposed clear margin,238,1,-0.2512841819005892,0.212,"mentions human experts or expert oversight as necessary for complex, novel, or final-review cases",0.316,-0.327,-0.282,0.014,,2000,8.41389e-93,True,,margin,0.174,0.457,-20.579,4.20695e-94,4.20695e-93,2000.0,2000.0,174.0,739.0,1087.0,1263.0,2737.0,-28.199999999999996,1.4000000000000001,-30.943999999999996,-25.455999999999996,task_specific_condition,3,unanimous_category,incremental,Task-specific,True,"Mentions human experts or expert oversight as necessary for complex, novel, or final-review cases"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h02__n190,2,Other exposed clear margin,190,1,-0.4802134096034322,0.776,mentions both substitution and augmentation in the same rationale,0.203,-0.176,-0.114,0.012,,2000,6.54955e-19,True,,margin,0.146,0.26,-9.21,3.2747799999999997e-20,2.18318e-19,2000.0,2000.0,203.0,430.0,1367.0,811.0,3189.0,-11.4,1.2,-13.752,-9.048,generic_margin_wording,3,unanimous_category,validation,Generic margin wording,True,Mentions both substitution and augmentation in the same rationale
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h13__n143,13,Other exposed clear margin,143,2,-0.266151510392126,0.584,"high-precision soldering and assembly in manufacturing, with robots handling repetitive or vision-guided alignment tasks while humans do intricate adjustments, quality checks, or irregular repairs",0.201,-0.131,-0.084,0.011,,2000,2.12055e-13,True,,margin,0.159,0.242,-7.732,1.06028e-14,5.30138e-14,2000.0,2000.0,159.0,327.0,1514.0,802.0,3198.0,-8.4,1.0999999999999999,-10.556000000000001,-6.244000000000001,mixed_or_ambiguous,3,unanimous_category,incremental,Mixed/ambiguous,True,"High-precision soldering and assembly in manufacturing, with robots handling repetitive or vision-guided alignment tasks while humans do intricate adjustments, quality checks, or irregular repairs"
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h07__n113,7,Other exposed clear margin,113,2,-0.3120401994861719,0.412,mentions cobots or collaborative robots augmenting human workers in assembly or logistics tasks,0.091,-0.156,-0.052,0.008,,2000,6.04968e-09,True,,margin,0.066,0.117,-6.298,3.02484e-10,1.20994e-09,2000.0,2000.0,87.0,191.0,1722.0,366.0,3634.0,-5.2,0.8,-6.768000000000001,-3.632,country_context_condition,3,unanimous_category,incremental,Country context,True,Mentions cobots or collaborative robots augmenting human workers in assembly or logistics tasks
same_task_substitution_vs_other_exposed,same_task_substitution_vs_other_exposed__h09__n309,9,Other exposed clear margin,309,1,-0.2820430812692327,0.336,"mentions routine customer/travel/coffee service tasks with human-led or human-centric support, especially for personalized, context-aware, trust-building, or language-nuance interactions",0.112,-0.136,-0.054,0.009,,2000,5.62425e-08,True,,margin,0.085,0.139,-5.942,2.81213e-09,9.37375e-09,2000.0,2000.0,114.0,222.0,1664.0,448.0,3552.0,-5.4,0.8999999999999999,-7.164,-3.6360000000000006,task_specific_condition,3,unanimous_category,novel,Task-specific,True,"Mentions routine customer/travel/coffee service tasks with human-led or human-centric support, especially for personalized, context-aware, trust-building, or language-nuance interactions"
